statement,occurences,proposed label
 tachykardes vorhofflimmern ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelas ,1,
 sinusrhythmus lagetyp normal intraentr leitungsstörung in iii t neg in v2 t flach in v3 path ecg ,1,
 sinustachykardie lagetyp normal normales ecg ,2,
 sinusrhythmus p - sinistrocardiale lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung t abnorm in inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal normales ecg q in avf diskrete st - hebung in v2 ,1,
 sinus arrhythmie lagetyp normal path ecg ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,2,
 tachykardes vorhofflimmern ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelast ,1,
 sinusrhythmus ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben linksanteriorer fascicular block qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal unvollständiger linksschenkelblock st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) sinus arrhythmie linkstyp unspezifisches abnormes t qt - verlängerung xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern lagetyp normal unspezifische intraventrikuläre leitungsstörung st and t abnorm wahrscheinlich inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp vollständiger rechtsschenkelblock chronisch inferiorer infarkt möglich st - senkung t neg in v1 - v4 t flach in v5 v6 path ecg ,1,
 sinus arrhythmie av block i p - verbreiterung ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp linkshypertrophie möglich qrs ( t ) abnorm inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp qrs ( t ) abnorm anteriorer infarkt alter unbest st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbest ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 sinusrhythmus lagetyp normal r - s übergang in v ableitungen nach rechts verschoben sonst normales ecg ,1,
 sinusrhythmus av block i lagetyp normal qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,5,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm lateraler infarkt alter unbest xxxx unbestätigter bericht ,2,
 sinusrhythmus linkstyp unvollständiger linksschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern extrem ueberdrehter rechtstyp periphere niederspannung linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolater ,1,
 sinusrhythmus av block i lagetyp normal qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinus arrhythmie linkstyp qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinus arrhythmie verdacht auf p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm lateraler infarkt alter unbest inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusbradykardie verdacht auf p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,4,
 sinustachykardie lagetyp normal st and t abnormal wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,2,
 sinusrhythmus rechtstyp qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) trigeminus sinusrhythmus av block i linkstyp xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp mässige amplitudenkriterien für linkshypertrophie t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp periphere niederspannung linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale i ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen t abnorm in anterioren ableitungen inferioren ableitungen xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinustachykardie ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm septaler infarkt nicht auszuschliessen inferiorer infarkt alter unbest t abnorm in anterioren ableitungen lateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus schwierig bestimmbare qrs - achse t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus av block i verdacht auf p - sinistrocardiale ueberdrehter linkstyp rechtsschenkelblock qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt wahrscheinlich alt xxxx un ,1,
 supraventrikuläre arrhythmie linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal rechtsschenkelblock qrs ( t ) abnorm anterolateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung t abnorm in lateralen ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinus arrhythmie p - sinistrocardiale ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm anteroseptaler infarkt alter unbest ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal unspezifisches abnormes t ,1,
 vorhofflimmern - flattern schwierig bestimmbare qrs - achse xxxx unbestätigter bericht ,1,
 sinus arrhythmie lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie linkstyp st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,7,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block unspezifischer intraventrikulärer block qrs ( t ) abnorm anteriorer infarkt mögl akut xxxx unbestätigter bericht ,1,
 sinustachykardie rechtstyp sonst normales ecg xxxx unbestätigter bericht ,2,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 node rytm vänster el - axel avvikande qrs ( t ) förlopp anteroseptal infarkt sannolikt äldre inferior infarkt ålder ej bestämmbar t - förändring såsom vid anterolateral myokardaffektion ,1,
 sinusrytm avvikande qrs ( t ) förlopp anterior infarkt ålder ej bestämmbar t - förändring såsom vid lateral myokardaffektionconsensus label derived from { asmi xxxx sr xxxx 0} { asmi xxxx injal xxxx sr xxxx 0} ,1,
 trace only requested edit norm xxxx tor ,1,
 sinusrytm vänster el - axel ospecifikt inkomplett skänkelblock ospecifik t - förändring ,1,
 sinus arytmi av block i vänster el - axel st and t sänkning såsom vid anterior ischemi eller vänster belastning lateral ischemi eller vänster belastning ,1,
 sinusrytm vänster el - axel ospecifik st - förändring ospecifik t - förändring ! ,1,
 supraventrikulär ( a ) extrasystoli ( er ) sinusrytm av block i vänster el - axel st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,1,
 sinusrytm vänster el - axel låga qrs amplituder i extremitetsavledningarna avvikande qrs ( t ) förlopp anteroseptal infarkt ålder ej bestämmbar ,1,
 regelbunden rytm inga p - våg funna vänster el - axel vänster kammarhypertrofi ,1,
 förmaksflimmer med hög kammarfrekvens extrem vänster el - axel ospecifikt skänkelblock vänster kammarhypertrofi avvikande qrs ( t ) förlopp inferior infarkt bör övervägas ,1,
 ventrikulär ( a ) extrasystoli ( er ) sinusrytm ospecifikt inkomplett skänkelblock vänster kammarhypertrofi ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder st and t sänkning såsom vid inferior ischemi eller vänster belastning ,1,
 sinusrytm patologisk r - s - kvot i v1 > xxxx vilket kan bero på gammal posterior myokardskada eller höger kammarhypertrofi ,1,
 sinusrytm av block i vänster el - axel st and t sänkning såsom vid anterolateral ischemi eller vänster belastning inferolateral ischemi eller vänster belastning ,1,
 förmaksflimmer - fladder vänster el - axel vänster kammarhypertrofi ,1,
 sinusrytm extrem vänster el - axel intraventrikulärt retledningshinder t - förändring såsom vid anterior myokardaffektion inferolateral myokardaffektion ,1,
 node rytm vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,1,
 förmaksflimmer - fladder misstänkt vänster kammarhypertrofi avvikande qrs ( t ) förlopp inferior infarkt sannolikt äldre ,1,
 sinusrytm extrem vänster el - axel ospecifikt skänkelblock avvikande qrs ( t ) förlopp hög lateral infarkt bör övervägas ,1,
 sinusrytm vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar t - förändring såsom vid anterior myokardaffektion ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder vänster el - axel misstänkt vänster kammarhypertrofi ,1,
 förmaksflimmer med hög kammarfrekvens extrem vänster el - axel vänster anteriort fascicular block st and t abnormal överväg färsk anterior peri - eller myokardskada ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler myokardschaden möglich ,2,
 förmaksflimmer - fladder st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid anterior myokardaffektion inferolateral myokardaffektion ,1,
 förmaksflimmer - fladder vänster el - axel vänster kammarhypertrofi avvikande qrs ( t ) förlopp inferior myokardskada kan ej uteslutas ,1,
 sinusbradykardi st and t sänkning såsom vid inferolateral ischemi eller vänster belastning ,1,
 sinus arrhythmie p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen ,1,
 förmaksflimmer - fladder vänster el - axel qt förlängd ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp anterior infarkt ålder ej bestämmbar t - förändring såsom vid lateral myokardaffektion ,1,
 supraventrikulär ( a ) extrasystoli ( er ) sinusrytm vänster el - axel bröstavledningarnas r - s transition förskjuten åt vänster ospecifik t - förändring qt förlängd ,1,
 tachykardes vorhofflimmern lagetyp normal chron anteroseptaler infarkt möglich ( dd lsb ) st - hebung ( fragl aneurysma ) ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer med hög kammarfrekvens vänster el - axel låga qrs amplituder i extremitetsavledningarna st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid anterior myokardaffe ,1,
 sinusbradykardi av - block i i övrigt inget säkert patologiskt ,1,
 förmaksflimmer - fladder vänster el - axel låga qrs amplituder i extremitetsavledningarna t - förändring såsom vid anterior myokardaffektion lateral myokardaffektion qt förlängd ,1,
 sinusrytm supraventrikulära extraslag abnorm r - progression v1 - v3 samt avsaknad q - våg i v6 inger misstanke på gammal anteroseptal myokardskada ,1,
 sinusrhythmus ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben linksanteriorer fascicular block qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt ,1,
 förmaksflimmer - fladder låga qrs amplituder i extremitetsavledningarna st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid anterior myokardaffektion ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal t abnormal in anterolateralen ableitungen inferolateralen ableitungen fehlende r - progression pathologisch ,1,
 tachykardes vorhofflimmern linkstyp periphere niederspannung unvollständiger rechtsschenkelblock st - senkung in v5 - xxxx ,1,
 förmaksflimmer - fladder extrem vänster el - axel avvikande qrs ( t ) förlopp anteroseptal infarkt sannolikt äldre st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,1,
 supraventrikulär ( a ) extrasystoli ( er ) sinusrytm vänster el - axel vänstersidigt skänkelblock ,1,
 sinusbradykardi måttliga amplitudkrit för vänster kammarkhypertrofi ,1,
 sinusrytm vänster el - axel inkomplett högersidigt skänkelblock t - inversion i avl såsom vid hög lateral myokardaffektion ,1,
 sinusrytm låga qrs amplituder i extremitetsavledningarna avvikande qrs ( t ) förlopp lateral infarkt ålder ej bestämmbar t - förändring såsom vid anterior myokardaffektion inferolateral myokardaffektion ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block schlechte r - progression v1 - xxxx ,1,
 sinus arytmi av block i vänster el - axel avvikande qrs ( t ) förlopp anterior infarkt bör övervägas t - förändring såsom vid lateral myokardaffektion ,1,
 sinusrytm gammal anteroseptal infarkt diskordant t - våg i avl såsom vid hög lateral myokardaffektion ,1,
 node rytm vänster el - axel avvikande qrs ( t ) förlopp anteroseptal infarkt ålder ej bestämmbar inferior infarkt ålder ej bestämmbar t - förändring såsom vid anterior myokardaffektion ,1,
 sinusrytm avvikande qrs ( t ) förlopp hög lateral myokardskada bör övervägas ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,1,
 tachykardes vorhofflimmern rechtstyp linksposteriorer fascicular block st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 anamnes saknas sinusbradykardi misstänkt vänster kammarhypertrofi patologisk q - våg i v2 inger misstanke på gammal anteroseptal myokardskada t - förändringar anteriort såsom vid subendokardiell myokardaffektion st and t förändringar lateralt såsom vid ischemi ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal periphere niederspannung unvollständiger rechtsschenkelblock qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen ,1,
 sinusbradykardie av block i lagetyp normal qrs ( t ) abnormal inferiorer infarkt alter unbest qt verlängert langsame r - progression ,1,
 sinusbradykardie lagetyp normal unspezifisches abnormales t ,3,
 ventrikuläre extrasystole ( n ) av - block xxxx grades ( grenzwertig ) sinus arrhythmie lagetyp normal st - senkung in i v3 - xxxx t biphasisch in v3 - xxxx i ii avl avf ,1,
